 Time (days),LWP,stom_conduct,rsoil,rplant
199.32,-2.0345304,242.4207916,.0000000,873816064.0000000
199.33,-2.3772209,256.3450012,.0000000,873816064.0000000
199.34,-2.5037718,141.2042542,.0000000,873816064.0000000
199.35,-2.4962866,76.6777878,.0000000,873816064.0000000
199.36,-2.4961214,76.2946472,.0000000,873816064.0000000
199.38,-2.4958754,71.5588913,.0000000,873816064.0000000
199.39,-2.4956908,69.6314850,.0000000,873816064.0000000
199.40,-2.4957151,70.6758575,.0000000,873816064.0000000
199.41,-2.4955187,65.2627869,.0000000,873816064.0000000
199.42,-2.4953208,63.7223930,.0000000,873816064.0000000
199.43,-2.4953125,63.6702805,.0000000,873816064.0000000
199.44,-2.4951634,61.9988098,.0000000,873816064.0000000
199.45,-2.4950867,61.2009354,.0000000,873816064.0000000
199.46,-2.4949577,57.6718674,.0000000,873816064.0000000
199.47,-2.4943728,52.0344505,.0000000,873816064.0000000
199.48,-2.4940450,50.2193108,.0000000,873816064.0000000
199.49,-2.4937389,48.4142838,.0000000,873816064.0000000
199.50,-2.4933872,45.6667747,.0000000,873816064.0000000
199.51,-2.4927940,42.8765297,.0000000,873816064.0000000
199.52,-2.4923532,40.4045944,.0000000,873816064.0000000
199.53,-2.4920425,38.8091812,.0000000,873816064.0000000
199.54,-2.4918194,38.1298218,.0000000,873816064.0000000
199.55,-2.4917834,37.6975098,.0000000,873816064.0000000
199.56,-2.4917047,36.8679428,.0000000,873816064.0000000
199.57,-2.4913414,35.6857834,.0000000,873816064.0000000
199.58,-2.4912126,35.2536850,.0000000,873816064.0000000
199.59,-2.4909899,34.5841599,.0000000,873816064.0000000
199.60,-2.4898815,31.0773029,.0000000,873816064.0000000
199.61,-2.4896362,30.4620895,.0000000,873816064.0000000
199.62,-2.4925747,40.8455849,.0000000,873816064.0000000
199.64,-2.4936957,47.0989876,.0000000,873816064.0000000
199.65,-2.4938157,46.8098602,.0000000,873816064.0000000
199.66,-2.4938228,46.7604980,.0000000,873816064.0000000
199.67,-2.4938583,46.4885254,.0000000,873816064.0000000
199.68,-2.4940071,48.7629318,.0000000,873816064.0000000
199.69,-2.4948742,56.7237358,.0000000,873816064.0000000
199.70,-2.4952381,62.1529541,.0000000,873816064.0000000
199.71,-2.4957185,69.0740128,.0000000,873816064.0000000
199.72,-2.4962847,107.5596313,.0000000,873816064.0000000
199.73,-2.4944587,132.4081573,.0000000,873816064.0000000
199.74,-2.4897432,138.1907349,.0000000,873816064.0000000
199.75,-2.4888048,115.4235840,.0000000,873816064.0000000
199.76,-2.4855008,84.2013779,.0000000,873816064.0000000
199.77,-2.4762537,90.4859238,.0000000,873816064.0000000
199.78,-2.4366615,100.7732391,.0000000,873816064.0000000
199.79,-2.3496604,62.4590340,.0000000,873816064.0000000
199.80,-2.2265229,19.5036469,.0000000,873816064.0000000
199.81,-2.0995283,1.6766341,.0000000,873816064.0000000
199.82,-1.9812065,1.6780713,.0000000,873816064.0000000
199.83,-1.8710485,1.6789001,.0000000,873816064.0000000
199.84,-1.7684892,1.6791844,.0000000,873816064.0000000
199.85,-1.6729978,1.6790736,.0000000,873816064.0000000
199.86,-1.5841199,1.6785079,.0000000,873816064.0000000
199.88,-1.5014758,1.6772645,.0000000,873816064.0000000
199.89,-1.4245608,1.6767772,.0000000,873816064.0000000
199.90,-1.3529274,1.6765137,.0000000,873816064.0000000
199.91,-1.2862122,1.6762310,.0000000,873816064.0000000
199.92,-1.2240188,1.6754364,.0000000,873816064.0000000
199.93,-1.1660918,1.6746644,.0000000,873816064.0000000
199.94,-1.1121221,1.6741472,.0000000,873816064.0000000
199.95,-1.0618407,1.6737710,.0000000,873816064.0000000
199.96,-1.0149822,1.6736926,.0000000,873816064.0000000
199.97,-.9714603,1.6728553,.0000000,873816064.0000000
199.98,-.9309565,1.6717787,.0000000,873816064.0000000
199.99,-.8932011,1.6714110,.0000000,873816064.0000000
200.00,-.8580400,1.6711128,.0000000,873816064.0000000
200.01,-.8252799,1.6706214,.0000000,873816064.0000000
200.02,-.7948010,1.6704129,.0000000,873816064.0000000
200.03,-.7663856,1.6700298,.0000000,873816064.0000000
200.04,-.7399619,1.6695570,.0000000,873816064.0000000
200.05,-.7154205,1.6690346,.0000000,873816064.0000000
200.06,-.6926438,1.6687452,.0000000,873816064.0000000
200.07,-.6714982,1.6684582,.0000000,873816064.0000000
200.08,-.6518330,1.6683459,.0000000,873816064.0000000
200.09,-.6336291,1.6677421,.0000000,873816064.0000000
200.10,-.6166843,1.6678911,.0000000,873816064.0000000
