 Time (days),soilR,soilR1,soilR2,CSR(1),CSR(2),CSR(3),CSR(4),CSR(5)
2.16,5638.7968750,Inf,Inf,28.0812874,28.0812874,28.0812874,28.0812874,28.0812874
2.17,5638.7968750,Inf,Inf,28.0812645,28.0812645,28.0812645,28.0812645,28.0812645
2.18,5638.7968750,Inf,Inf,28.0812492,28.0812492,28.0812492,28.0812492,28.0812492
2.19,5638.7968750,Inf,Inf,28.0812321,28.0812321,28.0812321,28.0812321,28.0812321
2.20,5638.7968750,Inf,Inf,28.0812206,28.0812206,28.0812206,28.0812206,28.0812206
2.21,5638.7968750,Inf,Inf,28.0812054,28.0812054,28.0812054,28.0812054,28.0812054
2.22,5638.7968750,Inf,Inf,28.0811844,28.0811844,28.0811844,28.0811844,28.0811844
2.23,5638.7968750,Inf,Inf,28.0811691,28.0811691,28.0811691,28.0811691,28.0811691
2.24,5638.7968750,Inf,Inf,28.0811501,28.0811501,28.0811501,28.0811501,28.0811501
2.25,5638.7968750,Inf,Inf,28.0811291,28.0811291,28.0811291,28.0811291,28.0811291
2.26,5638.7963867,Inf,Inf,28.0806084,28.0806084,28.0806084,28.0806084,28.0806084
2.27,5638.7963867,Inf,Inf,28.0805912,28.0805912,28.0805912,28.0805912,28.0805912
2.28,5638.7963867,Inf,Inf,28.0805798,28.0805798,28.0805798,28.0805798,28.0805798
2.29,5638.7963867,Inf,Inf,28.0805626,28.0805626,28.0805626,28.0805626,28.0805626
2.30,5638.7963867,Inf,Inf,28.0805492,28.0805492,28.0805492,28.0805492,28.0805492
2.31,5638.7963867,Inf,Inf,28.0805378,28.0805378,28.0805378,28.0805378,28.0805378
2.32,5638.7963867,Inf,Inf,28.0805206,28.0805206,28.0805206,28.0805206,28.0805206
2.33,5638.7963867,Inf,Inf,28.0805092,28.0805092,28.0805092,28.0805092,28.0805092
2.34,5638.7963867,Inf,Inf,28.0804996,28.0804996,28.0804996,28.0804996,28.0804996
2.35,5638.7963867,Inf,Inf,28.0804939,28.0804939,28.0804939,28.0804939,28.0804939
2.36,5638.7963867,Inf,Inf,28.0804977,28.0804977,28.0804977,28.0804977,28.0804977
2.38,5638.7963867,Inf,Inf,28.0804939,28.0804939,28.0804939,28.0804939,28.0804939
2.39,5638.7963867,Inf,Inf,28.0804920,28.0804920,28.0804920,28.0804920,28.0804920
2.40,5638.7963867,Inf,Inf,28.0804977,28.0804977,28.0804977,28.0804977,28.0804977
2.41,5638.7963867,Inf,Inf,28.0804977,28.0804977,28.0804977,28.0804977,28.0804977
2.42,5638.7963867,Inf,Inf,28.0804977,28.0804977,28.0804977,28.0804977,28.0804977
2.43,5638.7963867,Inf,Inf,28.0805168,28.0805168,28.0805168,28.0805168,28.0805168
2.44,5638.7963867,Inf,Inf,28.0805321,28.0805321,28.0805321,28.0805321,28.0805321
2.45,5638.7963867,Inf,Inf,28.0805531,28.0805531,28.0805531,28.0805531,28.0805531
2.46,5638.7963867,Inf,Inf,28.0805855,28.0805855,28.0805855,28.0805855,28.0805855
2.47,5638.7963867,Inf,Inf,28.0806198,28.0806198,28.0806198,28.0806198,28.0806198
2.48,5638.7963867,Inf,Inf,28.0806561,28.0806561,28.0806561,28.0806561,28.0806561
2.49,5638.7963867,Inf,Inf,28.0806847,28.0806847,28.0806847,28.0806847,28.0806847
2.50,5638.7968750,Inf,Inf,28.0807018,28.0807018,28.0807018,28.0807018,28.0807018
2.51,5638.7968750,Inf,Inf,28.0807285,28.0807285,28.0807285,28.0807285,28.0807285
2.52,5638.7968750,Inf,Inf,28.0807533,28.0807533,28.0807533,28.0807533,28.0807533
2.53,5638.7968750,Inf,Inf,28.0807762,28.0807762,28.0807762,28.0807762,28.0807762
2.54,5638.7968750,Inf,Inf,28.0808086,28.0808086,28.0808086,28.0808086,28.0808086
2.55,5638.7968750,Inf,Inf,28.0808620,28.0808620,28.0808620,28.0808620,28.0808620
2.56,5638.7968750,Inf,Inf,28.0809269,28.0809269,28.0809269,28.0809269,28.0809269
2.57,5638.7968750,Inf,Inf,28.0809937,28.0809937,28.0809937,28.0809937,28.0809937
2.58,5638.7968750,Inf,Inf,28.0810528,28.0810528,28.0810528,28.0810528,28.0810528
2.59,5638.7968750,Inf,Inf,28.0811119,28.0811119,28.0811119,28.0811119,28.0811119
2.60,5638.7968750,Inf,Inf,28.0811634,28.0811634,28.0811634,28.0811634,28.0811634
2.61,5638.7968750,Inf,Inf,28.0812206,28.0812206,28.0812206,28.0812206,28.0812206
2.62,5638.7973633,Inf,Inf,28.0812912,28.0812912,28.0812912,28.0812912,28.0812912
2.64,5638.7973633,Inf,Inf,28.0813484,28.0813484,28.0813484,28.0813484,28.0813484
2.65,5638.7973633,Inf,Inf,28.0814114,28.0814114,28.0814114,28.0814114,28.0814114
2.66,5638.7978516,Inf,Inf,28.0814610,28.0814610,28.0814610,28.0814610,28.0814610
2.67,5638.7978516,Inf,Inf,28.0814934,28.0814934,28.0814934,28.0814934,28.0814934
2.68,5638.7978516,Inf,Inf,28.0815258,28.0815258,28.0815258,28.0815258,28.0815258
2.69,5638.7978516,Inf,Inf,28.0815582,28.0815582,28.0815582,28.0815582,28.0815582
2.70,5638.7978516,Inf,Inf,28.0815868,28.0815868,28.0815868,28.0815868,28.0815868
2.71,5638.7978516,Inf,Inf,28.0816154,28.0816154,28.0816154,28.0816154,28.0816154
2.72,5638.7978516,Inf,Inf,28.0816460,28.0816460,28.0816460,28.0816460,28.0816460
2.73,5638.7978516,Inf,Inf,28.0816689,28.0816689,28.0816689,28.0816689,28.0816689
2.74,5638.7978516,Inf,Inf,28.0816994,28.0816994,28.0816994,28.0816994,28.0816994
2.75,5638.7978516,Inf,Inf,28.0817337,28.0817337,28.0817337,28.0817337,28.0817337
2.76,5638.7978516,Inf,Inf,28.0817661,28.0817661,28.0817661,28.0817661,28.0817661
2.77,5638.7978516,Inf,Inf,28.0817947,28.0817947,28.0817947,28.0817947,28.0817947
2.78,5638.7978516,Inf,Inf,28.0818329,28.0818329,28.0818329,28.0818329,28.0818329
2.79,5638.7978516,Inf,Inf,28.0818710,28.0818710,28.0818710,28.0818710,28.0818710
2.80,5638.7978516,Inf,Inf,28.0819092,28.0819092,28.0819092,28.0819092,28.0819092
2.81,5638.7978516,Inf,Inf,28.0819416,28.0819416,28.0819416,28.0819416,28.0819416
2.82,5638.7978516,Inf,Inf,28.0819721,28.0819721,28.0819721,28.0819721,28.0819721
2.83,5638.7978516,Inf,Inf,28.0819988,28.0819988,28.0819988,28.0819988,28.0819988
2.84,5638.7978516,Inf,Inf,28.0820217,28.0820217,28.0820217,28.0820217,28.0820217
2.85,5638.7978516,Inf,Inf,28.0820560,28.0820560,28.0820560,28.0820560,28.0820560
2.86,5638.7978516,Inf,Inf,28.0821075,28.0821075,28.0821075,28.0821075,28.0821075
2.88,5638.7978516,Inf,Inf,28.0821686,28.0821686,28.0821686,28.0821686,28.0821686
2.89,5638.7978516,Inf,Inf,28.0822296,28.0822296,28.0822296,28.0822296,28.0822296
2.90,5638.7978516,Inf,Inf,28.0822773,28.0822773,28.0822773,28.0822773,28.0822773
2.91,5638.7978516,Inf,Inf,28.0823250,28.0823250,28.0823250,28.0823250,28.0823250
2.92,5638.7978516,Inf,Inf,28.0823765,28.0823765,28.0823765,28.0823765,28.0823765
2.93,5638.7978516,Inf,Inf,28.0824394,28.0824394,28.0824394,28.0824394,28.0824394
2.94,5638.7978516,Inf,Inf,28.0824947,28.0824947,28.0824947,28.0824947,28.0824947
2.95,5638.7978516,Inf,Inf,28.0825424,28.0825424,28.0825424,28.0825424,28.0825424
2.96,5638.7978516,Inf,Inf,28.0825672,28.0825672,28.0825672,28.0825672,28.0825672
2.97,5638.7978516,Inf,Inf,28.0825996,28.0825996,28.0825996,28.0825996,28.0825996
2.98,5638.7978516,Inf,Inf,28.0826473,28.0826473,28.0826473,28.0826473,28.0826473
2.99,5638.7978516,Inf,Inf,28.0826950,28.0826950,28.0826950,28.0826950,28.0826950
3.00,5638.7978516,Inf,Inf,28.0827503,28.0827503,28.0827503,28.0827503,28.0827503
3.01,5635.5800781,Inf,Inf,28.0667839,28.0667839,28.0667839,28.0667839,28.0667839
3.02,5635.5800781,Inf,Inf,28.0668297,28.0668297,28.0668297,28.0668297,28.0668297
3.03,5635.5800781,Inf,Inf,28.0668831,28.0668831,28.0668831,28.0668831,28.0668831
3.04,5635.5800781,Inf,Inf,28.0669422,28.0669422,28.0669422,28.0669422,28.0669422
3.05,5635.5800781,Inf,Inf,28.0669975,28.0669975,28.0669975,28.0669975,28.0669975
3.06,5635.5800781,Inf,Inf,28.0670376,28.0670376,28.0670376,28.0670376,28.0670376
3.07,5635.5800781,Inf,Inf,28.0670967,28.0670967,28.0670967,28.0670967,28.0670967
3.08,5635.5800781,Inf,Inf,28.0671654,28.0671654,28.0671654,28.0671654,28.0671654
3.09,5635.5800781,Inf,Inf,28.0672150,28.0672150,28.0672150,28.0672150,28.0672150
3.10,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.11,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.12,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.14,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.15,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.16,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.17,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.18,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.19,5635.5800781,Inf,Inf,28.0672169,28.0672169,28.0672169,28.0672169,28.0672169
3.20,5635.5800781,Inf,Inf,28.0672913,28.0672913,28.0672913,28.0672913,28.0672913
3.21,5635.5800781,Inf,Inf,28.0673676,28.0673676,28.0673676,28.0673676,28.0673676
