"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.00092,2.177,76.82,-1.514,0.729
1.000751,1.327,81.08,-1.895,0.339
1.001165,1.321,37.32,-2.027,0.32
1.000962,2.945,94.42,-1.556,0.458
1.001795,1.691,92.21,-1.512,0.596
1.000906,2.209,104.26,-1.545,0.403
1.001341,2.224,73.34,-1.524,0.605
1.001741,1.25,74.3,-1.977,0.517
1.001748,1.837,92.17,-1.639,0.525
1.000526,2.514,97.7,-1.507,0.563
1.000517,1.721,76.98,-1.751,0.553
1.000881,1.656,64.04,-1.862,0.496
1.001606,1.424,35.37,-1.796,0.434
1.001164,1.341,63.99,-2.026,0.312
1.001369,2.779,104.99,-1.595,0.446
1.000722,1.875,94.79,-1.775,0.686
1.000933,1.651,100.58,-1.606,0.433
1.001949,1.616,64.37,-1.516,0.536
1.00054,2.239,77.71,-1.56,0.418
1.000615,1.841,57.07,-1.542,0.699
1.001923,1.896,102.45,-1.583,0.808
1.001892,1.321,54.3,-1.757,0.887
1.001281,1.557,89.21,-1.843,0.873
1.000799,1.796,85.27,-1.944,0.383
1.000739,2.06,56.75,-1.559,0.486
1.001929,1.261,55.77,-1.577,0.59
1.001323,1.945,56.46,-1.571,0.592
1.001105,1.889,42.54,-1.544,0.559
1.00138,1.94,70.78,-1.739,0.387
1.000646,2.082,61.66,-1.54,0.52
1.001543,1.446,74.54,-1.982,0.44
1.001126,1.433,100.59,-2.081,0.383
1.000972,1.486,68.22,-2.04,0.498
1.001477,1.61,48.75,-1.585,0.305
1.001775,1.889,88.65,-1.556,0.872
1.000672,2.27,81.31,-1.52,0.329
1.001273,1.329,39.3,-2.018,0.41
1.000959,2.22,71.18,-1.58,0.562
1.001985,1.349,51.17,-1.763,0.713
1.000579,1.577,57.16,-1.693,0.769
1.000657,3.195,100.51,-1.536,0.393
1.000744,2.289,99.84,-1.725,0.344
1.000969,2.223,85.61,-1.762,0.433
1.001045,2.532,79.17,-1.608,0.434
1.001197,2.563,91.15,-1.642,0.473
1.000707,2.226,77.04,-1.704,0.332
1.000543,1.512,96.92,-1.713,0.391
1.000944,2.569,59.37,-1.512,0.339
1.001652,1.639,76.06,-1.536,0.462
1.001179,1.945,96.76,-1.861,0.567
1.000996,1.731,87.04,-1.889,0.651
1.0013,2.374,79.96,-1.563,0.347
1.001015,2.403,77.57,-1.692,0.37
1.000546,2.324,92.88,-1.628,0.366
1.001726,1.661,65.56,-1.75,0.565
1.001127,1.922,85.85,-1.664,0.808
1.002063,1.446,98.6,-1.799,0.818
1.00139,1.43,75.13,-1.967,0.725
1.000978,1.872,102.73,-2.014,0.473
1.000868,1.522,103.56,-1.539,0.484
1.001475,2.087,53.7,-1.506,0.546
1.002103,1.418,65.76,-1.735,0.632
1.000852,1.608,89.8,-1.637,0.376
1.001016,1.822,60.07,-1.842,0.363
1.00205,1.953,96.02,-1.546,0.634
1.001588,2.23,86.49,-1.646,0.517
1.000814,1.482,85.71,-2.167,0.483
1.000707,1.827,97.57,-1.706,0.351
1.001624,1.927,82.81,-1.66,0.409
1.000958,1.572,68.35,-2.052,0.314
1.000793,3.071,83.89,-1.557,0.352
1.000852,1.71,65.28,-1.691,0.806
1.002307,1.467,42.02,-1.506,0.625
1.000734,2.52,103.44,-1.771,0.427
1.001598,2.105,99.36,-1.615,0.78
1.001467,2.342,76.48,-1.623,0.369
1.000921,2.103,58.09,-1.637,0.438
1.001328,1.469,95.3,-1.978,0.852
1.001278,1.363,36.62,-2.029,0.316
1.000648,1.533,56.78,-1.939,0.397
1.001838,2.152,103.87,-1.555,0.809
1.001994,1.672,55.42,-1.599,0.654
1.000842,3.264,94.2,-1.506,0.329
1.001426,1.422,59.77,-1.884,0.759
1.000636,2.275,86.34,-1.736,0.392
1.000755,1.61,39.99,-1.672,0.646
1.000623,1.569,91.87,-1.892,0.83
1.000707,2.358,96.27,-1.809,0.376
1.002021,1.833,99.88,-1.525,0.605
1.000774,1.641,70.21,-2.03,0.328
1.00108,1.259,98.87,-2.058,0.378
1.001829,1.286,54.83,-1.898,0.384
1.001032,1.898,74.37,-1.824,0.512
1.001258,1.309,96.75,-2.136,0.874
1.001127,1.727,98.58,-2.093,0.448
1.000927,1.394,46.29,-2.098,0.321
1.00083,2.377,88.15,-1.72,0.472
1.002285,1.679,71.81,-1.506,0.712
1.000659,1.686,45.51,-1.536,0.895
1.002079,1.728,55.84,-1.523,0.462
1.000528,1.264,99.93,-2.136,0.354
1.000569,1.289,64.81,-1.969,0.88
1.001681,1.624,89.18,-1.823,0.78
1.001217,1.51,76.2,-1.839,0.321
1.000667,1.321,102.57,-2.151,0.341
1.001146,1.661,92.86,-2.016,0.611
1.000765,2.443,99.07,-1.814,0.33
1.00101,1.829,89.41,-2.04,0.366
1.00092,2.02,92.8,-1.87,0.531
1.001837,1.676,37.73,-1.575,0.583
1.001822,1.555,49.49,-1.615,0.868
1.001066,1.587,41.31,-1.876,0.375
1.001168,3.342,93.97,-1.535,0.338
1.001875,2.539,102,-1.514,0.646
1.001987,1.566,47.98,-1.713,0.473
1.001484,1.385,76.69,-2.076,0.361
1.00117,3.641,100.53,-1.602,0.356
1.001396,1.565,35.93,-1.724,0.582
1.001213,1.891,68.07,-1.69,0.661
1.000884,1.496,44.49,-1.995,0.333
1.001103,1.54,59.47,-2.07,0.302
1.001846,1.509,91.25,-1.967,0.586
1.00051,1.469,75.73,-1.965,0.301
1.000839,1.759,84.87,-1.84,0.709
1.001359,1.882,63.63,-1.83,0.311
1.001343,2.019,54.82,-1.558,0.607
1.001957,2.36,100.51,-1.561,0.538
1.001783,1.371,66.95,-1.995,0.591
1.001814,2.491,101.71,-1.592,0.585
1.000504,2.541,103.09,-1.63,0.366
