time,defoliated,nondefoliated,oak
28460,7.66819112336656e-05,5.37930379321231e-05,0.0001381002
28461,7.85578984408584e-05,5.37930379321231e-05,0.0001381002
28462,7.48615150624052e-05,5.37930379321231e-05,0.0001381002
28463,7.85578984408584e-05,4.56147955150614e-05,0.0001114778
28464,9.30514954960926e-05,4.56147955150614e-05,0.0001114778
28465,9.5276117978154e-05,4.56147955150614e-05,0.0001114778
28466,0.0001457693,2.04515889113252e-05,2.23425564832225e-05
28467,8.92918408231269e-05,4.64791184642633e-05,0.0001036184
28468,0.0001425883,2.04515889113252e-05,2.23425564832225e-05
28469,0.0001252566,6.04455681099197e-05,7.26705917039645e-05
28470,0.0001333137,6.04455681099197e-05,7.26705917039645e-05
28471,0.0001268215,6.04455681099197e-05,7.26705917039645e-05
28472,0.0001228603,6.04455681099197e-05,7.26705917039645e-05
28473,0.0001268215,6.04455681099197e-05,7.26705917039645e-05
28474,0.0001062668,3.83304191992025e-05,4.35173628695641e-05
28475,0.0001100812,3.83304191992025e-05,4.35173628695641e-05
28476,0.0001395036,3.83304191992025e-05,4.35173628695641e-05
28477,0.0001469697,3.83304191992025e-05,4.35173628695641e-05
28478,0.0001395036,2.68869023160793e-05,3.01670968387904e-05
28479,0.0001013913,2.68869023160793e-05,3.01670968387904e-05
28480,9.77396649154722e-05,2.68869023160793e-05,3.01670968387904e-05
28481,9.42727045096143e-05,1.62500801945111e-05,1.77579391912511e-05
28482,9.77396649154722e-05,1.62500801945111e-05,1.77579391912511e-05
28483,9.77396649154722e-05,1.62500801945111e-05,1.77579391912511e-05
28484,6.51370045670195e-05,5.91253163755015e-05,0.0001459213
28485,7.18644542616423e-05,7.77949790136238e-06,1.67952238242008e-05
28486,7.30600759610258e-05,9.98012080854477e-06,2.47386676526151e-05
28487,7.30600759610258e-05,1.94682033001741e-05,5.43341352386809e-05
28488,6.1192456830402e-05,3.86658310092619e-05,0.0001075181
28489,6.14658338196857e-05,3.82600993750108e-05,0.000108526
28490,6.42346534766975e-05,3.91948114706382e-05,0.000113332
28491,7.3839169774949e-05,1.80564862751655e-05,6.70736393712588e-05
28492,7.07190179918069e-05,2.14210251641202e-05,7.9218394197585e-05
28493,7.07190179918069e-05,2.52911403829336e-05,9.00415555899462e-05
28494,7.28856523514021e-05,2.87932839749724e-05,0.000102683
28495,7.79204805090644e-05,2.65101158025349e-05,0.0001000194
28496,8.0687194315221e-05,2.65101158025349e-05,0.0001000194
28497,9.98429785324569e-05,2.65101158025349e-05,0.0001000194
28498,0.0001091642,3.80175598345128e-05,0.0001048885
28499,9.21170697660648e-05,4.99711598152077e-05,0.0001423631
28500,0.0001069976,3.64306127881370e-05,9.6728919138423e-05
28501,0.000105011,3.64306127881370e-05,9.6728919138423e-05
28502,8.24036963658899e-05,5.24589292674438e-05,0.0001394337
28503,8.24036963658899e-05,5.15242171718166e-05,0.0001346277
28504,7.77350083951809e-05,4.98806925385685e-05,0.0001321591
28505,0.0001091642,3.50953097943836e-05,8.98632253484604e-05
28506,0.0001091642,3.50953097943836e-05,8.98632253484604e-05
28507,0.0001091642,3.50953097943836e-05,8.98632253484604e-05
28508,0.0001091642,4.64319977371573e-05,0.0001098865
28509,8.74690917525405e-05,5.94598987317581e-05,0.000148644
28510,8.90920537514643e-05,5.94598987317581e-05,0.000148644
28511,8.90920537514643e-05,5.94598987317581e-05,0.000148644
28512,8.74690917525405e-05,5.94598987317581e-05,0.000148644
28513,0.0001619263,8.06746865493423e-05,0.0001847428
28514,0.0001619263,8.06746865493423e-05,0.0001847428
28515,0.0001636774,8.64673084444169e-05,0.0001960787
28516,0.0001567009,8.16108762477838e-05,0.0001895564
28517,0.0002231132,0.0001520439,0.0003259655
28518,0.0002008752,0.0001320088,0.000288945
28519,0.0001524729,8.37770666419993e-05,0.0001973755
28520,0.0001541588,8.28408769435578e-05,0.0001925619
28521,0.0001553347,9.05270490901683e-05,0.000209242
28522,0.0001942713,0.0001357091,0.0002975618
28523,0.0002641582,0.0002165486,0.0004444385
28524,0.0002522199,0.0002159638,0.0004483772
28525,0.0002213687,0.0001988655,0.0004505775
28526,0.0001511474,0.0001246201,0.0003065015
28527,0.0001324951,0.0001035757,0.0002653909
28528,0.0001214331,0.0001012851,0.0002619503
28529,0.0001461743,9.53847428672034e-05,0.0002515288
28530,0.0001202883,9.53847428672034e-05,0.0002515288
28531,0.0001191552,9.53847428672034e-05,0.0002515288
28532,0.0001148986,8.66973618359028e-05,0.000234058
28533,0.0001086666,8.450350026025e-05,0.0002307627
28534,0.0001075219,8.450350026025e-05,0.0002307627
28535,0.0001075219,8.450350026025e-05,0.0002307627
28536,0.000109981,8.450350026025e-05,0.0002307627
28537,0.0001077637,8.450350026025e-05,0.0002307627
28538,0.0001064493,8.450350026025e-05,0.0002307627
28539,9.93800056555368e-05,8.2417883011298e-05,0.00022763
28540,9.9686130289326e-05,8.2417883011298e-05,0.00022763
28541,9.9686130289326e-05,8.2417883011298e-05,0.00022763
28542,0.0001060659,7.22883051725418e-05,0.0002082569
28543,8.74342105533003e-05,8.04571822649088e-05,0.0002246849
28544,8.34316964260934e-05,7.22883051725418e-05,0.0002082569
28545,0.0001009196,6.47521607550573e-05,0.0001931012
28546,7.8051559773424e-05,7.04778193396829e-05,0.0002092094
28547,8.31911811801502e-05,7.22871273166821e-05,0.0002119271
28548,9.92319853733136e-05,7.04778193396829e-05,0.0002092094
28549,0.0001043716,6.98959131333987e-05,0.0002032957
28550,0.000110531,8.35605370102563e-05,0.0002303165
28551,8.64200110741733e-05,5.51218164737628e-05,0.0001751842
28552,7.80041970797414e-05,4.66260075302908e-05,0.0001590195
28553,8.10062127087007e-05,4.37722086231698e-05,0.0001462617
28554,0.0001085457,-3.79979484221749e-06,1.97155551371863e-06
28555,8.46111670820224e-05,-6.32616672156141e-06,-7.35961268998306e-06
28556,7.69190009791332e-05,2.99871966911945e-05,9.08279597260404e-05
28557,0.0001060698,1.02992766281892e-05,3.79847946133337e-05
28558,9.79012220330952e-05,1.36230114783555e-05,5.06446411812896e-05
28559,9.96183707356827e-05,1.36230114783555e-05,5.06446411812896e-05
28560,9.56466835319943e-05,1.38672192674919e-05,4.12802633662923e-05
28561,0.0001003644,2.36606436238853e-05,5.7759713731801e-05
28562,9.79439520350601e-05,2.02622841185615e-05,5.37951105483872e-05
28563,8.46707925581717e-05,2.09188454770131e-05,6.34397987852459e-05
28564,9.10919793400461e-05,2.43172049823369e-05,6.74044019686598e-05
28565,0.0001036944,3.01859464948611e-05,7.5021556035529e-05
28566,8.99384855775243e-05,2.43172049823369e-05,6.74044019686598e-05
28567,9.23589081497601e-05,3.48776056191943e-05,9.03842643954753e-05
28568,0.0001017397,4.10409159648225e-05,9.83450691360387e-05
28569,0.0001017397,3.34491117859102e-05,8.94882984005061e-05
28570,0.0001063231,4.03624763552008e-05,8.77607002601148e-05
28571,8.96994655617762e-05,3.01859464948611e-05,7.5021556035529e-05
28572,9.21198881340117e-05,3.01859464948611e-05,7.5021556035529e-05
28573,8.14158635975196e-05,2.72321381355489e-05,6.19263001357128e-05
28574,8.61335546728206e-05,2.72321381355489e-05,6.19263001357128e-05
28575,8.3713132100585e-05,2.84703933897296e-05,5.52449483473693e-05
28576,8.32431790180047e-05,2.84703933897296e-05,5.52449483473693e-05
28577,9.11147306626521e-05,3.09578789696936e-05,6.62728337936397e-05
28578,9.5494110350354e-05,2.85261175648547e-05,5.11227117319333e-05
28579,9.83810449735101e-05,3.13271186311251e-05,5.53299405147157e-05
28580,8.73999680075503e-05,2.46600542200873e-05,4.66124746543277e-05
28581,8.48711279584323e-05,2.25404257876202e-05,5.38024800605337e-05
28582,7.9690535897461e-05,1.80403416818781e-05,4.69435364761908e-05
28583,6.31507392574678e-05,3.65245120246107e-05,9.96177914319762e-05
28584,8.3742175560673e-05,5.24036301901778e-05,0.000129492
28585,6.47643543056248e-05,3.65245120246107e-05,9.96177914319762e-05
28586,8.91857107344024e-05,7.36698873780448e-05,0.0001772367
28587,0.0001036768,0.000101272,0.0002345157
28588,0.0001327442,0.0001321203,0.0002961854
28589,0.0002216741,0.0002375713,0.0005151144
28590,0.0002154821,0.0002712193,0.0006022384
28591,0.0002617531,0.0003525315,0.0007697185
28592,0.0002370597,0.0003443244,0.0007623633
28593,0.0001541186,0.0002531802,0.0005879051
28594,0.000239703,0.0003455761,0.0007687988
28595,0.0002959216,0.000392715,0.0008591239
28596,0.0002500204,0.0003581414,0.0007940685
28597,0.0002236638,0.0004142877,0.0009415076
28598,0.0002417618,0.0004316757,0.0009731557
28599,0.000246007,0.0004316757,0.0009731557
28600,0.0002499804,0.0004316757,0.0009731557
28601,0.0003313521,0.0005252072,0.0011536502
28602,0.0002603175,0.0004471114,0.0010027369
28603,0.0002378171,0.000367426,0.0008072412
28604,0.0002877654,0.0004134176,0.000894669
28605,0.0003676079,0.0004985923,0.0010558672
28606,0.0002703208,0.0004019892,0.0008655653
28607,0.0001665735,0.0002942321,0.0006550455
28608,0.0002686469,0.0003921301,0.0008434527
28609,0.0003666613,0.0005229174,0.0011676451
28610,0.0002771572,0.0004401174,0.0010088773
28611,0.000179254,0.0003575962,0.0008594467
28612,0.0002564821,0.0004396203,0.0010188981
28613,0.0003193928,0.0005004004,0.00113666
28614,0.0002602934,0.0004396203,0.0010188981
28615,0.0002341883,0.0004709694,0.001103388
28616,0.000244163,0.0004832015,0.0011279876
28617,0.0003106389,0.0005459293,0.0012482392
28618,0.0002806373,0.0005140107,0.0011870602
28619,0.0002910191,0.0005334736,0.0012305281
28620,0.0002599652,0.0005021032,0.0011703901
28621,0.0002952733,0.0004959479,0.0011510778
28622,0.0002826161,0.0004801241,0.0011207457
28623,0.000337677,0.0005464584,0.001193294
28624,0.0002845428,0.0003814145,0.0008413325
28625,0.0002477373,0.0003263555,0.0007362718
28626,0.0002930178,0.0003129355,0.0007149428
28627,0.0002149766,0.0002251303,0.0005396842
28628,0.0001411869,0.0001625068,0.0004012941
28629,0.0001247094,0.0001323873,0.0003462838
28630,0.0001070067,0.0001120149,0.0003063585
28631,8.85501806153763e-05,9.19388062483974e-05,0.0002678509
28632,9.19614602760255e-05,9.19388062483974e-05,0.0002678509
28633,8.93157180822168e-05,9.19388062483974e-05,0.0002678509
28634,9.05676221490003e-05,9.19388062483974e-05,0.0002678509
28635,0.0001122091,0.0001053578,0.0002986845
28636,0.0001066663,9.5513294664334e-05,0.0002798628
28637,0.0001448713,0.0001451453,0.0003744056
28638,0.0001143465,0.0001130052,0.000311376
28639,0.0001484552,0.000140776,0.0003558377
28640,0.0001279811,0.0001164307,0.0002979599
28641,0.0001580011,0.0001479631,0.0003614279
28642,0.0001380972,0.0001094753,0.0002941074
28643,0.0001121864,7.72682696928948e-05,0.0002229161
28644,9.97609434694497e-05,7.81505452895046e-05,0.0002117016
28645,0.0001061404,6.73328504971697e-05,0.0001997246
28646,8.82193512283003e-05,6.57924853219643e-05,0.0001760732
28647,8.47328137085596e-05,6.32342144251336e-05,0.0001761562
28648,8.47328137085596e-05,5.11968820138906e-05,0.0001621131
28649,8.61266518355852e-05,6.32342144251336e-05,0.0001761562
28650,8.8142145399775e-05,3.31554199056045e-05,0.0001041321
28651,9.00200014999497e-05,1.50994212887399e-05,8.30675604651256e-05
28652,7.54777745318587e-05,4.40599064307066e-05,0.0001408955
28653,8.87957882190075e-05,1.50994212887399e-05,8.30675604651256e-05
28654,8.1966603821316e-05,1.26064062642564e-05,7.02492878693546e-05
28655,7.0751222232312e-05,1.24206595783329e-05,6.91882326015912e-05
28656,6.48738758703272e-05,1.01355836478299e-05,5.7439115210976e-05
28657,6.22988197514861e-05,1.19956007081010e-05,6.42050951117827e-05
28658,5.72557167413505e-05,-4.88333043399929e-08,3.11570434128731e-05
28659,6.76600430808269e-05,5.55136642063992e-06,3.8534722251939e-05
28660,6.99134128200925e-05,9.03515531650911e-06,4.2598989297632e-05
28661,9.12028630056552e-05,-4.26291237333193e-06,-9.92882771849826e-06
28662,8.75999268082795e-05,-8.23656982888838e-08,-5.05170726366665e-06
28663,8.75999268082795e-05,-8.23656982888838e-08,-5.05170726366665e-06
28664,0.0001061202,7.9533941182854e-06,5.49652772404874e-06
28665,0.0001100336,1.32443269076327e-05,1.94364325919172e-05
28666,0.0001029134,1.77814032311867e-05,2.47294886113214e-05
28667,8.79752620044829e-05,1.42827197381663e-05,1.94743096430103e-05
28668,9.91561374581193e-05,1.77814032311867e-05,2.47294886113214e-05
28669,9.91561374581193e-05,1.77814032311867e-05,2.47294886113214e-05
28670,0.0001029134,1.77814032311867e-05,2.47294886113214e-05
28671,0.0001151697,1.70795302380045e-05,2.51970793955430e-05
28672,9.91561374581193e-05,1.32443269076327e-05,1.94364325919172e-05
28673,9.39478330441773e-05,6.55132477041005e-05,0.0001448303
28674,0.0001183765,2.48566695179275e-05,4.37205992567907e-05
28675,8.55243404999154e-05,1.67700498607866e-05,6.01454675649718e-05
28676,6.99974282808543e-05,4.01162111869657e-05,0.0001182077
28677,6.67354658019233e-05,4.01162111869657e-05,0.0001182077
28678,6.77603771137838e-05,3.99139228824419e-05,0.0001227285
28679,6.77603771137838e-05,4.17542965700233e-05,0.0001293716
28680,7.24559941877193e-05,4.17542965700233e-05,0.0001293716
28681,7.10184328091164e-05,4.79803546295961e-05,0.0001418925
28682,6.93616820903953e-05,4.37628578119651e-05,0.0001366217
28683,0.0001019836,7.16338234123961e-05,0.0001893689
28684,0.0001106272,8.14871180393937e-05,0.0002134766
